CVE_LGJO,CVE_POZO,NOMB_POZO,TIT_LGJO,CVE_EDO,CVE_MPIO,AÑO,DESC,LONGITUD,LATITUD,DATUMG,CVE_ACUIF,NOM_ACUIF,CT_POZO,DISEÑO_PERF,CORTE_LIT,REG_ELEC,INF_PERF,REG_AFORO,ANAL_AGUA,CROQUIS,TIPO_INF,PROF_TOT_m,PROF_REG_m,HGQ,F_INICIO,F_FINAL,NE_M,ND_M,ALTITUD_msnm,Q_LPS,Ca,Mg,Na,Cl,SO4,HCO3,STD_ppm,LONG_COL_m,ADEME_pulg,TEMP_°C,POT_H_s/u,CE_Us/cm,As_mg/L,URL 
10_0004,PCOABCL76-1 (3093),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE MENSAJES, CONTROL DE PERFORACIONES, PRUEBAS DE DESARROLLO Y AFORO,  ANÁLISIS DE AGUA  Y CROQUIS DE LOCALIZACIÓN.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,118.0,,SI,1976-10-14 00:00:00,1976-02-21,33.52,34.14,,123.0,2.2,5.0,4.75,1.0,6.76,4.2,,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0004.pdf
10_0005,PCOABCL76-2 (3089),BILBAO ,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE  ANÁLISIS DE AGUA PARA RIEGO,  CONTROL DE PERFORACIONES, PRUEBAS DE DESARROLLO Y AFORO,  CROQUIS DE LOCALIZACIÓN  Y MENSAJES.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,143.0,,SI,20/101975,1976-01-28,18.18,19.36,,70.0,27.8,21.0,32.6,21.2,58.0,2.2,2003.9,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0005.pdf
10_0006,PCOABCL76-3 (3091),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES, PRUEBAS DE DESARROLLO Y AFORO,  ANÁLISIS DE AGUA  DE RIEGO,  SISTEMA DE BOMBEO  Y CROQUIS DE LOCALIZACIÓN.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,109.0,,SI,1976-01-31 00:00:00,1976-03-19,29.94,30.07,,90.0,4.6,1.8,6.14,1.0,7.74,3.8,802.29,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0006.pdf
10_0007,PCOABCL76-4 (3094),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES, PRUEBAS DE DESARROLLO Y AFORO,  CROQUIS DE LOCALIZACIÓN,  ANÁLISIS DE AGUA,  SISTEMA DE BOMBEO  Y ANÁLISIS DE AGUA DE RIEGO.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,111.0,,SI,1976-02-24 00:00:00,1976-04-13,33.87,34.38,,76.0,2.7,2.9,1.95,1.1,2.25,4.2,449.35,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0007.pdf
10_0008,PCOABCL76-5 (3090),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES, PRUEBAS DE DESARROLLO Y AFORO,    ANÁLISIS DE AGUA, ANÁLISIS DE AGUA DE RIEGO,  MENSAJES, CLASIFICACIÓN GEOQUÍMICA DEL AGUA DE RIEGO, CROQUIS DE LOCALIZACIÓN  Y  SISTEMA DE BOMBEO.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,100.0,,SI,1977-01-18 00:00:00,1977-02-25,39.9,41.22,,80.0,2.0,3.4,2.36,1.0,5.06,1.9,793.91,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0008.pdf
10_0009,PCOABCL76-6 (3095),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES,  ANÁLISIS DE AGUA,  ANÁLISIS DE AGUA DE RIEGO,  MENSAJES,  PRUEBAS DE DESARROLLO Y AFORO   Y  CROQUIS DE LOCALIZACIÓN.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,130.0,,SI,1976-05-07 00:00:00,1976-06-17,28.76,30.9,,80.0,3.6,4.0,2.74,1.0,3.94,5.4,657.09,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0009.pdf
10_0010,PCOABCL76-7 (3092),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES,  ANÁLISIS DE AGUA, PRUEBAS DE DESARROLLO Y AFORO  Y  CROQUIS DE LOCALIZACIÓN.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,120.0,,SI,1976-06-22 00:00:00,1976-08-22,35.3,35.67,,80.0,7.8,6.6,0.11,1.2,9.71,3.6,1003.3,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0010.pdf
10_0011,PCOABCL76-8 (3096),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1976,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES,  ANÁLISIS DE AGUA, PRUEBAS DE DESARROLLO Y AFORO  Y  CROQUIS DE LOCALIZACIÓN.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,SI,PROFUNDIDAD,135.0,,SI,1976-06-24 00:00:00,1976-08-22,33.15,45.53,,80.0,7.2,5.2,0.54,1.4,8.44,3.2,872.45,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0011.pdf
10_0013,PCOABCL76-9 (3090),VENUSTIANO CARRANZA,VENUSTIANO CARRANZA  COAHUILA-DURANGO,10,5036.0,1977,"INF. FINAL CONTIENE CONTROL DE PERFORACIONES, CLASIFICACIÓN GEOQUÍMICA DEL AGUA DE RIEGO  Y PRUEBAS DE DESARROLLO Y AFORO.",,,,523,PRINCIPAL-REGION LAGUNERA,SI,NO,SI,NO,NO,SI,SI,NO,PROFUNDIDAD,100.0,,SI,1977-01-18 00:00:00,1977-02-25,39.9,41.22,,80.0,2.0,3.4,2.36,1.0,5.06,1.9,495.91,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0013.pdf
10_0014,SIN ID,,COMARCA LAGUNERA COAHUILA-DURANGO,10,5035.0,1978,CONDICIONES GEOHIDROLÓGICAS DE LA ZONA.,,,,523,PRINCIPAL-REGION LAGUNERA,NO,NO,NO,NO,NO,NO,NO,NO,OTRO,,,NO,,,,,,,,,,,,,,,,,,,,https://sigagis.conagua.gob.mx/t_infbasica/INVENTARIO/10 DURANGO/PDF/10_0014.pdf
